6888917,34000,2000,16
7297041,41999,3000,13
5834958,36000,4000,8
2543750,60000,5000,11
2642625,71999,6000,11
6388708,104997,7000,14
5274334,95999,8000,11
4539666,99000,9000,10
3347625,130000,10000,12
2618833,99000,11000,8
6290958,119999,12000,9
4106666,129998,13000,9
3320875,111998,14000,7
4726250,134998,15000,8
4977667,159997,16000,9
5487916,135998,17000,7
5866084,143998,18000,7
5609458,170998,19000,8
5573375,119999,20000,5
6078416,230996,21000,10
6809417,241998,22000,10
3137958,114999,23000,4
4345458,167996,24000,6
5355041,149998,25000,5
6251334,181995,26000,6
6245667,188998,27000,6
7709417,223998,28000,7
9582875,232000,29000,7
3295041,179999,30000,5
10913083,247995,31000,7
5366708,159997,32000,4
9278084,230997,33000,6
13429167,271998,34000,7
9051916,244999,35000,6
6582208,215997,36000,5
8248500,258998,37000,6
6585583,265995,38000,6
8675000,350995,39000,8
5104125,239998,40000,5
5461750,204994,41000,4
7464208,293997,42000,6
6305291,214996,43000,4
7116417,351998,44000,7
5158042,224994,45000,4
8309542,321992,46000,6
5216042,234996,47000,4
7382792,287999,48000,5
11535500,342996,49000,6
9933542,299995,50000,5
8932208,305999,51000,5
9273750,311998,52000,5
6900583,264996,53000,4
12383625,431990,54000,7
11246875,329997,55000,5
10896375,335997,56000,5
12808167,398992,57000,6
8563292,289998,58000,4
13041167,412994,59000,6
9211000,299997,60000,4
8205333,426997,61000,6
12072666,309998,62000,4
14604333,377998,63000,5
17875084,447992,64000,6
13415625,389998,65000,5
7545083,395994,66000,5
15573833,401992,67000,5
16358708,475995,68000,6
14158000,413996,69000,5
20871333,489992,70000,6
13926709,354996,71000,4
20632292,503988,72000,6
13462750,364993,73000,4
15886834,443998,74000,5
21662042,524992,75000,6
11403875,379994,76000,4
14884292,384996,77000,4
18180250,467995,78000,5
14869709,394992,79000,4
19308541,479989,80000,5
7197250,404994,81000,4
14597083,409999,82000,4
15753125,414988,83000,4
15388917,419992,84000,4
16347709,424996,85000,4
9660875,515988,86000,5
16744000,434996,87000,4
16138250,439998,88000,4
16825958,444995,89000,4
16795667,449994,90000,4
22026875,545992,91000,5
23110083,551984,92000,5
19169458,464990,93000,4
19657250,469998,94000,4
23136667,569993,95000,5
19293208,575992,96000,5
24417209,581992,97000,5
19680583,489995,98000,4
19366166,494991,99000,4
19331125,499987,100000,4
14101000,504997,101000,4
